step,scramble,epsilon,sr,avg_len,avg_return,loss,replay_fill,td_mean,td_max
280001,4,0.050000000000000044,0.0,200.0,-0.14799999999999908,155669.21875,1.0,11510448.0,342121632.0
500001,4,0.050000000000000044,0.0,200.0,-0.08549999999999901,0.6979416608810425,1.0,10.264349937438965,103.34561157226562
290001,4,0.050000000000000044,0.0,200.0,-0.12149999999999916,200534.453125,1.0,11013251.0,376182176.0
520001,4,0.050000000000000044,0.0,200.0,-0.038999999999998945,0.7542497515678406,1.0,9.75029182434082,106.03470611572266
300001,4,0.050000000000000044,0.0,200.0,-0.127999999999999,6800.65771484375,1.0,784618.5625,49667020.0
310001,4,0.050000000000000044,0.0,200.0,-0.12549999999999892,19338.177734375,1.0,3516529.25,81582856.0
540001,4,0.050000000000000044,0.0,200.0,-0.09949999999999896,0.7050820589065552,1.0,9.309840202331543,108.55147552490234
320001,4,0.050000000000000044,0.0,200.0,-0.11649999999999898,122439.1328125,1.0,9381872.0,203744176.0
560001,4,0.050000000000000044,0.0,200.0,-0.09699999999999881,0.9928773641586304,1.0,13.292511940002441,117.30902099609375
330001,4,0.050000000000000044,0.0,200.0,-0.1499999999999989,479664.84375,1.0,39768936.0,390558976.0
340001,4,0.050000000000000044,0.0,200.0,-0.17999999999999883,321527.40625,1.0,24174440.0,604817536.0
580001,4,0.050000000000000044,0.0,200.0,-0.11549999999999891,0.729819118976593,1.0,10.312337875366211,125.38675689697266
350001,4,0.050000000000000044,0.0,200.0,-0.13699999999999893,430191.59375,1.0,36806796.0,726858496.0
360001,4,0.050000000000000044,0.0,200.0,-0.08299999999999913,216845.515625,1.0,19275080.0,817522688.0
600001,4,0.050000000000000044,0.0,200.0,-0.08499999999999891,1.0357303619384766,1.0,11.606263160705566,127.3478775024414
370001,4,0.050000000000000044,0.0,200.0,-0.09149999999999908,40006.85546875,1.0,2514077.25,75975440.0
620001,4,0.050000000000000044,0.0,200.0,-0.08899999999999882,0.6458776593208313,1.0,14.860429763793945,133.4917755126953
380001,4,0.050000000000000044,0.0,200.0,-0.1229999999999989,45961.390625,1.0,2851353.0,74934448.0
390001,4,0.050000000000000044,0.0,200.0,-0.14699999999999885,26570.466796875,1.0,1606541.0,74405704.0
640001,4,0.050000000000000044,0.0,200.0,-0.11749999999999881,0.8708041906356812,1.0,12.557433128356934,133.46388244628906
